matchId,matchDuration,queueType,mapId,participantId1,championId1,spell1Id1,spell2Id1,highestAchievedSeasonTier1,winner1,kills1,deaths1,assists1,totalDamageDealtToChampions1,wardsPlaced1,wardsKilled1,inhibitorKills1,towerKills1,summonerId1,matchHistoryUri1,participantId2,championId2,spell1Id2,spell2Id2,highestAchievedSeasonTier2,winner2,kills2,deaths2,assists2,totalDamageDealtToChampions2,wardsPlaced2,wardsKilled2,inhibitorKills2,towerKills2,summonerId2,matchHistoryUri2,participantId3,championId3,spell1Id3,spell2Id3,highestAchievedSeasonTier3,winner3,kills3,deaths3,assists3,totalDamageDealtToChampions3,wardsPlaced3,wardsKilled3,inhibitorKills3,towerKills3,summonerId3,matchHistoryUri3,participantId4,championId4,spell1Id4,spell2Id4,highestAchievedSeasonTier4,winner4,kills4,deaths4,assists4,totalDamageDealtToChampions4,wardsPlaced4,wardsKilled4,inhibitorKills4,towerKills4,summonerId4,matchHistoryUri4,participantId5,championId5,spell1Id5,spell2Id5,highestAchievedSeasonTier5,winner5,kills5,deaths5,assists5,totalDamageDealtToChampions5,wardsPlaced5,wardsKilled5,inhibitorKills5,towerKills5,summonerId5,matchHistoryUri5,participantId6,championId6,spell1Id6,spell2Id6,highestAchievedSeasonTier6,winner6,kills6,deaths6,assists6,totalDamageDealtToChampions6,wardsPlaced6,wardsKilled6,inhibitorKills6,towerKills6,summonerId6,matchHistoryUri6,participantId7,championId7,spell1Id7,spell2Id7,highestAchievedSeasonTier7,winner7,kills7,deaths7,assists7,totalDamageDealtToChampions7,wardsPlaced7,wardsKilled7,inhibitorKills7,towerKills7,summonerId7,matchHistoryUri7,participantId8,championId8,spell1Id8,spell2Id8,highestAchievedSeasonTier8,winner8,kills8,deaths8,assists8,totalDamageDealtToChampions8,wardsPlaced8,wardsKilled8,inhibitorKills8,towerKills8,summonerId8,matchHistoryUri8,participantId9,championId9,spell1Id9,spell2Id9,highestAchievedSeasonTier9,winner9,kills9,deaths9,assists9,totalDamageDealtToChampions9,wardsPlaced9,wardsKilled9,inhibitorKills9,towerKills9,summonerId9,matchHistoryUri9,participantId10,championId10,spell1Id10,spell2Id10,highestAchievedSeasonTier10,winner10,kills10,deaths10,assists10,totalDamageDealtToChampions10,wardsPlaced10,wardsKilled10,inhibitorKills10,towerKills10,summonerId10,matchHistoryUri10
2054994244,3067,RANKED_SOLO_5x5,11,1,236,4,7,UNRANKED,FALSE,6,13,16,13,20,1,0,1,51666047,/v1/stats/player_history/NA1/214684661,2,40,14,4,SILVER,FALSE,4,12,21,12,25,2,0,1,42726231,/v1/stats/player_history/NA1/205308031,3,75,12,4,SILVER,FALSE,16,7,11,7,6,0,0,2,49262934,/v1/stats/player_history/NA1/212183251,4,32,11,4,SILVER,FALSE,6,15,18,15,20,0,0,1,50204765,/v1/stats/player_history/NA1/212845505,5,98,4,12,SILVER,FALSE,13,17,14,17,3,0,0,0,53865827,/v1/stats/player_history/NA1/216581777,6,85,14,4,SILVER,TRUE,9,7,12,7,14,1,0,1,28903187,/v1/stats/player_history/NA1/43158388,7,157,12,4,SILVER,TRUE,5,14,13,14,15,0,0,0,63800895,/v1/stats/player_history/NA1/226592647,8,432,4,3,BRONZE,TRUE,5,4,25,4,22,0,0,0,51403662,/v1/stats/player_history/NA1/214315201,9,80,11,4,SILVER,TRUE,28,13,12,13,9,1,0,2,65760428,/v1/stats/player_history/NA1/227668857,10,67,4,7,UNRANKED,TRUE,17,8,15,8,17,0,2,5,19171337,/v1/stats/player_history/NA/31865816
2054994283,2941,RANKED_SOLO_5x5,11,1,150,4,14,GOLD,FALSE,7,15,14,15,16,1,0,2,27952704,/v1/stats/player_history/NA1/42386090,2,32,11,4,GOLD,FALSE,2,9,19,9,19,3,0,0,34882079,/v1/stats/player_history/NA1/49343542,3,21,4,7,UNRANKED,FALSE,7,10,12,10,13,0,0,1,24933652,/v1/stats/player_history/NA/39414496,4,62,4,14,SILVER,FALSE,13,7,9,7,5,2,0,0,49320062,/v1/stats/player_history/NA1/212091680,5,53,4,3,GOLD,FALSE,9,9,16,9,14,2,0,0,40922889,/v1/stats/player_history/NA1/203926378,6,157,12,4,GOLD,TRUE,19,10,13,10,18,1,1,0,59272608,/v1/stats/player_history/NA1/220254805,7,41,4,14,GOLD,TRUE,7,11,17,11,16,0,0,2,49377527,/v1/stats/player_history/NA1/212323150,8,201,3,4,SILVER,TRUE,2,5,28,5,34,1,1,1,46300728,/v1/stats/player_history/NA1/209345764,9,106,6,11,SILVER,TRUE,9,6,16,6,16,5,2,1,37847055,/v1/stats/player_history/NA1/200843482,10,18,7,4,SILVER,TRUE,13,7,10,7,18,1,1,4,46299411,/v1/stats/player_history/NA1/209284355
2054994354,2733,RANKED_SOLO_5x5,11,1,36,4,12,SILVER,FALSE,11,11,9,11,11,3,0,0,51090805,/v1/stats/player_history/NA1/213879898,2,64,4,11,UNRANKED,FALSE,11,10,9,10,31,0,0,0,69593219,/v1/stats/player_history/NA1/229942160,3,238,14,4,SILVER,FALSE,8,9,7,9,19,6,0,1,51053827,/v1/stats/player_history/NA1/213967623,4,16,4,3,SILVER,FALSE,2,14,14,14,10,2,0,0,31917017,/v1/stats/player_history/NA1/46821694,5,21,4,7,SILVER,FALSE,6,16,12,16,16,2,0,4,56938063,/v1/stats/player_history/NA1/218802523,6,67,7,4,SILVER,TRUE,18,9,11,9,10,2,0,2,59328355,/v1/stats/player_history/NA1/220443199,7,127,12,4,SILVER,TRUE,7,7,15,7,20,2,0,2,58493916,/v1/stats/player_history/NA1/219627132,8,201,3,4,SILVER,TRUE,2,6,35,6,37,5,0,0,19428550,/v1/stats/player_history/NA/32122433,9,96,11,3,SILVER,TRUE,25,11,8,11,11,5,1,4,48320530,/v1/stats/player_history/NA1/211278244,10,7,14,4,SILVER,TRUE,8,6,19,6,10,1,0,0,58434337,/v1/stats/player_history/NA1/219635054
2054994531,2984,RANKED_SOLO_5x5,11,1,77,11,4,UNRANKED,FALSE,15,17,12,17,15,0,1,0,69093599,/v1/stats/player_history/NA1/229546986,2,58,12,4,BRONZE,FALSE,23,13,16,13,12,1,1,2,60003691,/v1/stats/player_history/NA1/221398508,3,268,4,21,BRONZE,FALSE,13,15,22,15,9,0,0,1,59658765,/v1/stats/player_history/NA1/221230000,4,201,3,4,BRONZE,FALSE,0,13,24,13,19,3,0,1,20269692,/v1/stats/player_history/NA/33165517,5,110,14,4,BRONZE,FALSE,7,18,7,18,15,0,0,2,25967910,/v1/stats/player_history/NA/40564358,6,107,4,11,BRONZE,TRUE,12,20,28,20,8,1,0,2,61244845,/v1/stats/player_history/NA1/220633165,7,4,4,14,BRONZE,TRUE,20,9,20,9,8,0,1,5,35126765,/v1/stats/player_history/NA1/49645597,8,236,7,4,BRONZE,TRUE,22,9,16,9,14,1,1,2,61168997,/v1/stats/player_history/NA1/223204296,9,25,3,4,BRONZE,TRUE,8,9,39,9,23,1,0,0,19969475,/v1/stats/player_history/NA/32749314,10,78,12,4,BRONZE,TRUE,14,12,29,12,7,0,0,0,65790646,/v1/stats/player_history/NA1/227676466
2054994735,3129,RANKED_SOLO_5x5,11,1,90,14,4,SILVER,FALSE,10,9,22,9,15,1,0,0,64629839,/v1/stats/player_history/NA1/226581004,2,78,4,12,GOLD,FALSE,13,6,15,6,10,4,0,2,40852141,/v1/stats/player_history/NA1/203903798,3,81,7,4,UNRANKED,FALSE,8,13,20,13,8,4,0,1,42008563,/v1/stats/player_history/NA1/204956353,4,99,4,14,UNRANKED,FALSE,11,5,22,5,32,7,0,0,27211569,/v1/stats/player_history/NA1/41856415,5,64,11,4,SILVER,FALSE,18,14,22,14,43,4,1,0,48173042,/v1/stats/player_history/NA1/211101967,6,32,12,4,UNRANKED,TRUE,2,11,18,11,18,0,0,0,25183398,/v1/stats/player_history/NA/39739880,7,41,12,4,SILVER,TRUE,10,13,10,13,20,3,0,2,22825208,/v1/stats/player_history/NA/36710104,8,110,7,4,GOLD,TRUE,17,12,10,12,20,0,0,2,41215941,/v1/stats/player_history/NA1/204301236,9,63,4,14,SILVER,TRUE,8,15,15,15,32,2,0,1,27313490,/v1/stats/player_history/NA1/41875441,10,77,11,4,SILVER,TRUE,10,9,9,9,17,0,1,4,43704491,/v1/stats/player_history/NA1/201734192
2054994812,2872,RANKED_SOLO_5x5,11,1,41,12,4,GOLD,FALSE,3,9,17,9,15,1,0,2,69964207,/v1/stats/player_history/NA1/230170455,2,35,14,11,GOLD,FALSE,18,6,19,6,18,2,1,1,26213693,/v1/stats/player_history/NA/40886730,3,161,4,14,UNRANKED,FALSE,15,14,15,14,14,1,0,1,46054567,/v1/stats/player_history/NA1/209164362,4,203,4,7,UNRANKED,FALSE,7,11,20,11,16,2,0,2,41671705,/v1/stats/player_history/NA1/204491346,5,111,3,4,PLATINUM,FALSE,6,9,22,9,43,3,1,0,50147054,/v1/stats/player_history/NA1/212909452,6,12,4,14,SILVER,TRUE,3,10,27,10,17,2,0,0,32381433,/v1/stats/player_history/NA1/47174771,7,131,11,4,UNRANKED,TRUE,18,9,12,9,15,2,0,1,69502370,/v1/stats/player_history/NA1/229908083,8,21,7,4,GOLD,TRUE,7,11,17,11,5,5,2,0,56821629,/v1/stats/player_history/NA1/218618961,9,54,12,4,UNRANKED,TRUE,11,7,14,7,18,0,0,1,71522808,/v1/stats/player_history/NA1/230925018,10,238,14,4,PLATINUM,TRUE,10,12,13,12,17,2,0,3,27725730,/v1/stats/player_history/NA1/42302447
2054994893,2957,RANKED_SOLO_5x5,11,1,16,4,3,PLATINUM,FALSE,3,6,30,6,27,18,0,0,49220050,/v1/stats/player_history/NA1/212096223,2,92,12,4,PLATINUM,FALSE,16,11,7,11,9,45,0,1,19466505,/v1/stats/player_history/NA/32160389,3,236,4,7,PLATINUM,FALSE,13,10,19,10,23,22,1,3,20968244,/v1/stats/player_history/NA/34170071,4,64,4,11,PLATINUM,FALSE,8,10,18,10,36,16,0,0,32650325,/v1/stats/player_history/NA1/47550572,5,4,3,4,GOLD,FALSE,4,13,16,13,17,13,0,2,32237632,/v1/stats/player_history/NA1/47093911,6,11,11,12,PLATINUM,TRUE,28,13,6,13,18,4,0,3,43390686,/v1/stats/player_history/NA1/205854698,7,89,4,14,PLATINUM,TRUE,1,9,25,9,33,14,0,0,51557558,/v1/stats/player_history/NA1/214428409,8,420,14,4,PLATINUM,TRUE,8,4,12,4,21,1,2,2,58829109,/v1/stats/player_history/EUW1/42134808,9,222,4,7,PLATINUM,TRUE,7,9,19,9,19,11,0,2,38868773,/v1/stats/player_history/NA1/201812849,10,45,4,12,GOLD,TRUE,6,10,16,10,4,4,2,0,36512164,/v1/stats/player_history/NA1/51046387
2054994964,2729,RANKED_SOLO_5x5,11,1,76,4,14,SILVER,TRUE,18,11,17,11,4,19,1,2,54779554,/v1/stats/player_history/NA1/216926914,2,58,12,4,BRONZE,TRUE,5,9,24,9,12,38,0,3,51941735,/v1/stats/player_history/NA1/214869833,3,64,4,11,SILVER,TRUE,14,9,19,9,28,5,1,0,47675797,/v1/stats/player_history/NA1/210700363,4,81,7,4,SILVER,TRUE,10,6,22,6,12,20,0,3,46137973,/v1/stats/player_history/NA1/209264668,5,412,3,4,SILVER,TRUE,3,11,30,11,15,15,0,0,37995052,/v1/stats/player_history/NA1/201020424,6,420,12,4,SILVER,FALSE,7,5,15,5,12,3,0,1,24343087,/v1/stats/player_history/NA/38654187,7,111,3,4,BRONZE,FALSE,2,10,18,10,20,5,0,0,32561810,/v1/stats/player_history/NA1/47382462,8,55,4,12,UNRANKED,FALSE,15,15,14,15,15,3,0,0,71791348,/v1/stats/player_history/NA1/231020297,9,67,4,7,SILVER,FALSE,7,11,12,11,17,0,0,0,24965592,/v1/stats/player_history/NA/39458114,10,120,6,11,UNRANKED,FALSE,15,9,13,9,10,3,0,1,47680034,/v1/stats/player_history/NA1/210504984
2054994984,2816,RANKED_SOLO_5x5,11,1,67,7,4,BRONZE,TRUE,6,14,8,14,16,4,1,0,35361576,/v1/stats/player_history/NA1/49894585,2,25,4,3,SILVER,TRUE,3,10,17,10,40,7,0,0,53869082,/v1/stats/player_history/NA1/210431556,3,90,4,14,SILVER,TRUE,21,7,7,7,8,2,0,1,20581935,/v1/stats/player_history/NA/33612131,4,75,12,4,SILVER,TRUE,10,9,7,9,10,0,2,4,61927405,/v1/stats/player_history/NA1/224840917,5,107,11,4,SILVER,TRUE,10,10,8,10,18,7,0,3,61424865,/v1/stats/player_history/NA1/223369631,6,60,4,11,SILVER,FALSE,14,11,24,11,7,9,0,0,39206325,/v1/stats/player_history/NA1/202231644,7,21,7,4,SILVER,FALSE,17,9,16,9,22,6,0,0,41960467,/v1/stats/player_history/NA1/204727127,8,99,4,21,SILVER,FALSE,13,4,19,4,9,1,0,1,37456066,/v1/stats/player_history/NA1/200573745,9,37,3,4,SILVER,FALSE,1,9,29,9,43,4,0,2,33987933,/v1/stats/player_history/NA/40414350,10,92,12,4,SILVER,FALSE,5,17,4,17,2,2,0,4,68759191,/v1/stats/player_history/NA1/227168001
2054995158,2749,RANKED_SOLO_5x5,11,1,268,21,4,PLATINUM,FALSE,11,8,6,8,18,7,0,4,35025565,/v1/stats/player_history/NA1/49624227,2,86,12,4,PLATINUM,FALSE,9,8,11,8,25,2,0,0,66914928,/v1/stats/player_history/NA1/228384877,3,81,7,4,DIAMOND,FALSE,8,11,9,11,10,2,0,1,35800686,/v1/stats/player_history/NA1/50289756,4,432,4,14,PLATINUM,FALSE,4,9,22,9,26,9,0,0,33059765,/v1/stats/player_history/NA1/47724730,5,154,11,4,GOLD,FALSE,6,8,19,8,31,3,0,0,19945066,/v1/stats/player_history/NA/32716480,6,54,4,12,GOLD,TRUE,15,3,10,3,18,4,0,2,51523492,/v1/stats/player_history/NA1/214303689,7,67,4,7,PLATINUM,TRUE,9,3,13,3,15,10,2,4,42240922,/v1/stats/player_history/NA1/205021105,8,16,4,7,PLATINUM,TRUE,0,10,25,10,26,20,0,1,43480962,/v1/stats/player_history/NA1/205864675,9,64,11,4,PLATINUM,TRUE,7,7,11,7,32,9,0,1,31374931,/v1/stats/player_history/NA1/45980929,10,91,14,4,UNRANKED,TRUE,13,15,7,15,17,8,0,0,46810706,/v1/stats/player_history/NA1/209721731
